accuracy,precision,recall,f1,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc,inference_time,training_time,evaluation_id,model,random_seed,train_size,test_size,pos_train,neg_train,pos_test,neg_test
0.6672226855713094,0.77805586458387,0.6672226855713094,0.5349083006913411,0.6669449081803005,1.0,1.0,0.0025,0.800200300450676,0.004987531172069825,0.5009367177722153,0.004438161849975586,0.023607969284057617,1,NaiveBayes,42,9589,2398,3200,6389,800,1598
0.6663886572143453,0.44407384246393816,0.6663886572143453,0.5329775146288908,0.6663886572143453,0.0,1.0,0.0,0.7997997997997998,0.0,0.5015624999999999,0.004204750061035156,0.021943092346191406,2,NaiveBayes,43,9589,2398,3200,6389,800,1598
0.6663886572143453,0.44407384246393816,0.6663886572143453,0.5329775146288908,0.6663886572143453,0.0,1.0,0.0,0.7997997997997998,0.0,0.5015644555694618,0.004410266876220703,0.022652149200439453,3,NaiveBayes,44,9589,2398,3200,6389,800,1598
0.6668056713928273,0.7778704475952182,0.6668056713928273,0.5339439128945366,0.6666666666666666,1.0,1.0,0.00125,0.8,0.0024968789013732834,0.5006246088861077,0.004630088806152344,0.023720979690551758,4,NaiveBayes,45,9589,2398,3200,6389,800,1598
0.6668056713928273,0.7778704475952182,0.6668056713928273,0.5339439128945366,0.6666666666666666,1.0,1.0,0.00125,0.8,0.0024968789013732834,0.50125,0.00462794303894043,0.023366928100585938,5,NaiveBayes,46,9589,2398,3200,6389,800,1598
0.6659716430358632,0.4439810953572422,0.6659716430358632,0.5327773144286906,0.6662494785148102,0.0,0.9993742177722152,0.0,0.7994993742177722,0.0,0.5012515644555695,0.004622936248779297,0.023880958557128906,6,NaiveBayes,47,9589,2398,3200,6389,800,1598
0.6672226855713094,0.77805586458387,0.6672226855713094,0.5349083006913411,0.6669449081803005,1.0,1.0,0.0025,0.800200300450676,0.004987531172069825,0.5012484355444305,0.004294872283935547,0.022976160049438477,7,NaiveBayes,48,9589,2398,3200,6389,800,1598
0.6663886572143453,0.44407384246393816,0.6663886572143453,0.5329775146288908,0.6663886572143453,0.0,1.0,0.0,0.7997997997997998,0.0,0.5015624999999999,0.004479885101318359,0.023643016815185547,8,NaiveBayes,49,9589,2398,3200,6389,800,1598
0.6672226855713094,0.77805586458387,0.6672226855713094,0.5349083006913411,0.6669449081803005,1.0,1.0,0.0025,0.800200300450676,0.004987531172069825,0.5024984355444305,0.0046536922454833984,0.025457143783569336,9,NaiveBayes,50,9589,2398,3200,6389,800,1598
0.6672226855713094,0.77805586458387,0.6672226855713094,0.5349083006913411,0.6669449081803005,1.0,1.0,0.0025,0.800200300450676,0.004987531172069825,0.5021867177722152,0.004524946212768555,0.023746013641357422,10,NaiveBayes,51,9589,2398,3200,6389,800,1598
0.8936613844870726,0.8942938727714055,0.8936613844870726,0.8912040289521483,0.8901801278326554,0.9025110782865583,0.9586983729662077,0.76375,0.9231696294064478,0.8273527420446851,0.9427522684605757,3.2780938148498535,42.63028812408447,1,SVM,42,9589,2398,3200,6389,800,1598
0.9003336113427857,0.9006115159737803,0.9003336113427857,0.8983765127815879,0.898533724340176,0.9047619047619048,0.9586983729662077,0.78375,0.9276415379957614,0.8399196249162759,0.9439185700876094,3.186418056488037,42.74109983444214,2,SVM,43,9589,2398,3200,6389,800,1598
0.9045037531276063,0.9042409726312979,0.9045037531276063,0.9030618135255557,0.9067142008318478,0.8993006993006993,0.9549436795994993,0.80375,0.9302042060347455,0.8488448844884489,0.951684527534418,3.2486371994018555,42.67724299430847,3,SVM,44,9589,2398,3200,6389,800,1598
0.9015846538782318,0.902706206474043,0.9015846538782318,0.899288552870255,0.8954703832752613,0.9171597633136095,0.9649561952440551,0.775,0.9289156626506024,0.8401084010840109,0.9452319305381727,3.294984817504883,42.664888858795166,4,SVM,45,9589,2398,3200,6389,800,1598
0.9107589658048374,0.9105289779047245,0.9107589658048374,0.9095352798483292,0.9128878281622912,0.9058171745152355,0.9574468085106383,0.8175,0.9346365302382407,0.859395532194481,0.9570290988735919,3.2922558784484863,43.10804510116577,5,SVM,46,9589,2398,3200,6389,800,1598
0.8940783986655546,0.8945057605904009,0.8940783986655546,0.8917472964823989,0.8916083916083916,0.9002932551319648,0.9574468085106383,0.7675,0.9233554616777309,0.8286099865047234,0.9434957759699626,3.2566909790039062,42.46692204475403,6,SVM,47,9589,2398,3200,6389,800,1598
0.9020016680567139,0.9025221044968448,0.9020016680567139,0.899993608206311,0.8987712112346401,0.9100145137880987,0.9612015018773467,0.78375,0.9289386150589658,0.842175957018133,0.937986936795995,3.2240099906921387,42.38290500640869,7,SVM,48,9589,2398,3200,6389,800,1598
0.8994995829858216,0.8998997282025367,0.8994995829858216,0.8974402535222168,0.8970157987126974,0.9056603773584906,0.9593241551939925,0.78,0.9271242818264288,0.8381464069845533,0.948387046307885,3.278878927230835,42.08986711502075,8,SVM,49,9589,2398,3200,6389,800,1598
0.9015846538782318,0.9012462372042971,0.9015846538782318,0.9000789169951812,0.9043942992874109,0.8949579831932774,0.9530663329161452,0.79875,0.9280926264472883,0.8441215323645971,0.9437413954943679,3.2464287281036377,42.22364902496338,9,SVM,50,9589,2398,3200,6389,800,1598
0.8982485404503753,0.8987146135330389,0.8982485404503753,0.8960977726098546,0.8954439252336449,0.9052478134110787,0.9593241551939925,0.77625,0.9262839879154079,0.8358008075370121,0.9488567740926158,3.2627010345458984,42.638668060302734,10,SVM,51,9589,2398,3200,6389,800,1598
